CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,SUBSCRIPTION DURATION,Canceled,Revenue
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2833
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2991
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2502
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2787
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1873
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1286
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1125
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1845
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2051
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2601
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1904
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1602
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1819
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1140
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2624
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1922
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2734
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1642
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1976
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2798
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2279
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1431
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2557
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2428
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1071
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2813
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1134
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1127
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1243
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2850
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1798
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1918
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1575
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2816
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2965
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2255
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2868
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1585
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1632
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2654
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2129
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2494
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1881
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2757
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2052
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1717
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1804
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1987
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1918
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1568
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2392
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1035
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1114
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,2623
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2812
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2616
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1362
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1458
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2014
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1344
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1659
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,2236
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1938
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,2192
207,Mike,East,Basic,7/31/2022,7/31/2023,365,FALSE,1701
211,Liam,East,Basic,11/30/2022,11/30/2023,365,FALSE,1383
203,Alex,East,Basic,3/31/2022,3/31/2023,365,FALSE,1052
